# Русский = Карачаевский
привет = салам
мир = дуния
вода = суу
огонь = от
земля = джер
небо = кёк
солнце = кюн
луна = ай
звезда = жулдуз
человек = адам
женщина = тишир
мужчина = эркек
ребёнок = сабий
дом = юй
дверь = эшик
окно = терезе
стол = стол
стул = орун
книга = китап
ручка = калам
шалава = кахме
проститутка = кахме
# Основная лексика
я = мен
ты = сен
он = ол
мы = биз
вы = сиз
они = ала
этот = бу
тот = ол
здесь = мында
там = анда
кто = ким
что = не
где = къайда
когда = къачан
как = къалай
почему = неге
нет = джокъ
да = хонш

# Природа
гора = тау
лес = орман
река = черек
озеро = кёл
море = денгиз
камень = таш
песок = къум
воздух = хауа
ветер = джел
дождь = джангур
снег = къар
лёд = буз
огонь = от
дым = тютюн
вода = суу

# Животные
собака = ит
кошка = киштик
корова = сигир
лошадь = ат
овца = къой
коза = эчки
волк = бёрю
лиса = тюлкю
медведь = аюу
птица = чыпчыкъ
орёл = къара къуш
рыба = балыкъ
змея = джылан
пчела = ары
муха = чыбын

# Растения
дерево = терек
трава = от
цветок = чечек
лист = джапыракъ
плод = жемиш
яблоко = алма
груша = алмурут
виноград = жюзюм
пшеница = будай
ячмень = арпа
кукуруза = жуурма

# Семья и люди
отец = ата
мать = ана
брат = къарнаш
сестра = эгеч
сын = улан
дочь = къыз
друг = дос
враг = душман
сосед = къошнаш
гость = къонакъ
муж = эр
жена = тишир
ребёнок = сабий
старик = къарт
старуха = къарт ана

# Части тела
голова = баш
глаз = кёз
нос = бурун
рот = аууз
ухо = къулакъ
рука = къол
нога = аякъ
сердце = джюрек
кровь = къан
кость = сёек
волосы = чач
зуб = тиш
язык = тил
спина = аркъа
грудь = кёкюрек

# Еда и напитки
хлеб = этмек
мясо = эт
молоко = сют
сыр = бышлакъ
масло = джау
соль = туз
сахар = шекер
чай = чай
суп = шорпа
мёд = бал
рис = кюрч
лук = сохан
чеснок = сарымсах

# Одежда
рубашка = кёлек
штаны = ыштан
платье = кёйлек
шапка = бёрк
обувь = башмакъ
носок = чорап
пояс = къур
пальто = тон
платок = джаулукъ
ремень = къайыш

# Дом и быт
комната = бёлюм
кухня = ашхана
спальня = уйукълаучу
стол = стол
стул = орун
кровать = тёшек
дверь = эшик
окно = терезе
посуда = аякъ
ложка = къашыкъ
вилка = шайне
нож = бичакъ
тарелка = табакъ
чашка = чыны
зеркало = кюзгю

# Город и инфраструктура
улица = къауум
дорога = джол
мост = кёпюр
магазин = дюкян
рынок = базар
школа = школа
больница = больница
церковь = клиса
мечеть = мечит
площадь = майдан
парк = парк
фонтан = фонтан

# Транспорт
автомобиль = автомобиль
автобус = автобус
поезд = поезд
самолёт = самолёт
велосипед = велосипед
лодка = къайыкъ
колесо = тегерчек
дорога = джол
мост = кёпюр

# Время
время = заман
год = джыл
месяц = ай
неделя = жума
день = кюн
ночь = тюн
утро = эртен
вечер = кеч
час = сагъат
минута = минут
секунда = секунд
вчера = тюнегей
сегодня = бюгюн
завтра = эртен

# Цвета
белый = акъ
чёрный = къара
красный = къызыл
синий = кёк
зелёный = джашил
жёлтый = сары
серый = боз
коричневый = къонур
оранжевый = къызгъылт сары
фиолетовый = милтил

# Числа
один = бир
два = эки
три = юч
четыре = тёрт
пять = беш
шесть = алты
семь = джети
восемь = сегиз
девять = тогъуз
десять = он
